Timestamp,Asal Prodi,"Dari skala 1- 10, seberapa paham anda menangkap materi saat melakukan pembelajaran secara Luring?","Dari Taraf 1-10, Seberapa Termotivasi Anda Untuk Mengikuti Pembelajaran Secara Luring?",Menurut Anda Seberapa Efektif Pembelajaran Luring Dalam Memahami Materi yang Diberikan? (dalam persentase),"Berapa Jam Rata-Rata Per Minggu Anda Menghabiskan Waktu Untuk Pembelajaran Daring?(1 SKS = 1 Jam,Diisi Angka)",Dalam Rentang Seminggu Berapa kali Anda Mengikuti Pembelajaran Daring Hanya untuk absen?(Diisi dengan Angka),"Dari skala 1-10, seberapa paham anda menangkap materi saat melakukan pembelajaran secara daring?",Apakah Terdapat Peningkatan Frekuensi Pembelajaran Daring Setelah Ujian Tengah Semester?,"Dari Taraf 1-10, Seberapa Termotivasi Anda Untuk Mengikuti Pembelajaran Secara Daring?",Menurut Anda Seberapa Efektif Pembelajaran Daring Dalam Memahami Materi yang Diberikan? (dalam persentase),Apakah Anda Merasa Ada Perbedaan Yang Signifikan Dalam Interaksi Antara Mahasiswa Dan Dosen Saat Melakukan Antara Pembelajaran Daring Dan Tatap Muka?
8/12/2023 14:24,Teknologi Sains Data,,,,6,3,2,Ya,3,2,Ya
8/12/2023 14:27,Teknologi Sains Data,,,,6,2,3,Ya,2,2,Ya
8/12/2023 15:52,Teknologi Sains Data,,,,5,1,1,Ya,3,3,Ya
10/12/2023 7:27,Teknik Elektro,8,8,80,4,0,8,Ya,8,80,Ya
10/12/2023 7:31,Rekayasa Nanoteknologi,10,10,100,2,1,5,Ya,1,1,Ya
10/12/2023 7:33,Rekayasa Nanoteknologi,8,9,83,5,5,6,Tidak,6,60,Ya
10/12/2023 7:34,Rekayasa Nanoteknologi,7,6,80,5,2,2,Tidak,4,25,Ya
10/12/2023 7:34,Teknik Industri,8,9,85,4,0,5,Ya,4,60,Ya
10/12/2023 7:36,Teknik Industri,9,9,80,19,0,6,Ya,8,50,Tidak
10/12/2023 7:38,Rekayasa Nanoteknologi,9,8,85,"1,5",1,7,Ya,7,68,Ya
10/12/2023 7:40,Rekayasa Nanoteknologi,8,10,90,6,0,7,Ya,7,75,Ya
10/12/2023 7:42,Teknik Elektro,8,7,90,2,0,7,Tidak,7,70,Ya
10/12/2023 7:46,Teknik Robotika Dan Kecerdasan Buatan,8,8,70,10,2 kali,2,Ya,10,50,Ya
10/12/2023 7:54,Teknik Industri,7,7,75,4,2,5,Ya,1,30,Ya
10/12/2023 8:05,Teknik Industri,10,9,97,5,1,6,Ya,4,43,Ya
10/12/2023 8:05,Teknik Industri,8,10,90,5,0,6,Ya,6,70,Ya
10/12/2023 8:08,Teknik Robotika Dan Kecerdasan Buatan,6,7,60,3,2,5,Tidak,5,60,Tidak
10/12/2023 8:10,Teknik Elektro,9,7,85,2,1,5,Tidak,5,60,Ya
10/12/2023 8:22,Teknik Robotika Dan Kecerdasan Buatan,7,8,75,2,3,5,Ya,7,50,Ya
10/12/2023 8:43,Teknik Robotika Dan Kecerdasan Buatan,8,7,75,4,2,5,Ya,5,30,Ya
10/12/2023 12:38,Teknik Elektro,8,9,90,4,3,3,Ya,8,50,Ya
10/12/2023 12:58,Teknik Elektro,10,10,90,3,0,8,Ya,8,80,Ya
10/12/2023 13:19,Teknologi Sains Data,9,9,80,4,0,5,Ya,5,50,Ya
10/12/2023 13:23,Teknologi Sains Data,10,10,100,5,2,1,Ya,1,50,Ya
10/12/2023 13:27,Teknologi Sains Data,9,9,85,5,1,6,Ya,7,65,Ya
10/12/2023 13:28,Teknik Robotika Dan Kecerdasan Buatan,8,10,95,19,2,4,Ya,6,40,Ya
10/12/2023 14:42,Teknologi Sains Data,8,10,75,8,3,4,Ya,5,40,Ya
10/12/2023 15:40,Teknik Robotika Dan Kecerdasan Buatan,5,8,60,2,2,2,Ya,10,40,Ya
10/12/2023 17:34,Teknik Robotika Dan Kecerdasan Buatan,7,8,90,2,1,3,Ya,5,40,Ya
11/12/2023 13:18,Teknologi Sains Data,7,8,70,6,2,3,Ya,4,40,Ya
